attribute_3a,value_3a,figure_3a,attribute_3b,value_3b,figure_3b,attribute_3c,value_3c,figure_3c
statistic.X-squared,1368.28929884386,3A,statistic.X-squared,1107.40057041474,3B,statistic.X-squared,2938.75289189681,3C
parameter.df,33,3A,parameter.df,33,3B,parameter.df,33,3C
p.value,1.31618592907443e-266,3A,p.value,2.23316356026839e-211,3B,p.value,0,3C
method,Pearson's Chi-squared test,3A,method,Pearson's Chi-squared test,3B,method,Pearson's Chi-squared test,3C
data.name,ten_track_count,3A,data.name,ecr_track_count,3B,data.name,temp_track_count,3C
observed1,373,3A,observed1,212,3B,observed1,1389,3C
observed2,547,3A,observed2,382,3B,observed2,2626,3C
observed3,769,3A,observed3,529,3B,observed3,3099,3C
observed4,500,3A,observed4,361,3B,observed4,1924,3C
observed5,520,3A,observed5,258,3B,observed5,1948,3C
observed6,325,3A,observed6,183,3B,observed6,2001,3C
observed7,481,3A,observed7,303,3B,observed7,2743,3C
observed8,618,3A,observed8,373,3B,observed8,2588,3C
observed9,426,3A,observed9,219,3B,observed9,2391,3C
observed10,409,3A,observed10,270,3B,observed10,2310,3C
observed11,339,3A,observed11,224,3B,observed11,2169,3C
observed12,585,3A,observed12,399,3B,observed12,3196,3C
observed13,336,3A,observed13,157,3B,observed13,1959,3C
observed14,412,3A,observed14,268,3B,observed14,2676,3C
observed15,213,3A,observed15,122,3B,observed15,1522,3C
observed16,350,3A,observed16,222,3B,observed16,2150,3C
observed17,278,3A,observed17,134,3B,observed17,1989,3C
observed18,360,3A,observed18,224,3B,observed18,2205,3C
observed19,137,3A,observed19,81,3B,observed19,1219,3C
observed20,281,3A,observed20,176,3B,observed20,2804,3C
observed21,437,3A,observed21,270,3B,observed21,2512,3C
observed22,385,3A,observed22,241,3B,observed22,2182,3C
observed23,140,3A,observed23,84,3B,observed23,1341,3C
observed24,388,3A,observed24,244,3B,observed24,2361,3C
observed25,564,3A,observed25,372,3B,observed25,2180,3C
observed26,653,3A,observed26,444,3B,observed26,2774,3C
observed27,193,3A,observed27,117,3B,observed27,2040,3C
observed28,539,3A,observed28,356,3B,observed28,3000,3C
observed29,862,3A,observed29,576,3B,observed29,2085,3C
observed30,1047,3A,observed30,715,3B,observed30,2798,3C
observed31,273,3A,observed31,171,3B,observed31,1550,3C
observed32,877,3A,observed32,655,3B,observed32,2283,3C
observed33,1233,3A,observed33,921,3B,observed33,1882,3C
observed34,1192,3A,observed34,868,3B,observed34,1982,3C
observed35,544,3A,observed35,388,3B,observed35,1670,3C
observed36,1401,3A,observed36,1107,3B,observed36,2553,3C
observed37,1420,3A,observed37,995,3B,observed37,3123,3C
observed38,1625,3A,observed38,1111,3B,observed38,3138,3C
observed39,1162,3A,observed39,926,3B,observed39,2094,3C
observed40,1483,3A,observed40,1163,3B,observed40,3166,3C
observed41,805,3A,observed41,560,3B,observed41,2646,3C
observed42,891,3A,observed42,654,3B,observed42,2495,3C
observed43,750,3A,observed43,605,3B,observed43,1799,3C
observed44,1122,3A,observed44,899,3B,observed44,3025,3C
observed45,533,3A,observed45,374,3B,observed45,1857,3C
observed46,645,3A,observed46,460,3B,observed46,1944,3C
observed47,656,3A,observed47,494,3B,observed47,1713,3C
observed48,1013,3A,observed48,725,3B,observed48,2877,3C
expected1,548.235655474077,3A,expected1,346.944794368285,3B,expected1,2133.47685900817,3C
expected2,597.80004502766,3A,expected2,400.003705075954,3B,expected2,2393.98768844678,3C
expected3,398.275215489515,3A,expected3,277.940718784735,3B,expected3,1886.77228172907,3C
expected4,644.689084008748,3A,expected4,459.110781771026,3B,expected4,2623.76317081598,3C
expected5,486.875337707449,3A,expected5,261.143756947017,3B,expected5,2190.60248413319,3C
expected6,530.892319567734,3A,expected6,301.080955909596,3B,expected6,2458.08870865082,3C
expected7,353.698957931301,3A,expected7,209.204705446462,3B,expected7,1937.29218570987,3C
expected8,572.533384793516,3A,expected8,345.570581696925,3B,expected8,2694.01662150612,3C
expected9,440.54203653673,3A,expected9,259.974805483512,3B,expected9,2376.14273763844,3C
expected10,480.370159526566,3A,expected10,299.733234531308,3B,expected10,2666.28458418957,3C
expected11,320.039334877139,3A,expected11,208.268247499074,3B,expected11,2101.37749368055,3C
expected12,518.048469059565,3A,expected12,344.023712486106,3B,expected12,2922.19518449144,3C
expected13,328.34031262061,3A,expected13,179.784735087069,3B,expected13,1960.91970212224,3C
expected14,358.024604399846,3A,expected14,207.279547980734,3B,expected14,2200.36022659077,3C
expected15,238.528463913547,3A,expected15,144.027232308262,3B,expected15,1734.16877011766,3C
expected16,386.106619065998,3A,expected16,237.908484623935,3B,expected16,2411.55130116932,3C
expected17,264.475492087997,3A,expected17,143.781030011115,3B,expected17,1939.67463492699,3C
expected18,288.385951370127,3A,expected18,165.769729529455,3B,expected18,2176.52100420084,3C
expected19,192.132767271324,3A,expected19,115.184327528714,3B,expected19,1715.38037607522,3C
expected20,311.005789270552,3A,expected20,190.264912930715,3B,expected20,2385.42398479696,3C
expected21,338.107873407951,3A,expected21,196.150055576139,3B,expected21,1981.92871301533,3C
expected22,368.675221922038,3A,expected22,226.147647276769,3B,expected22,2223.93456873193,3C
expected23,245.624276341181,3A,expected23,157.137643571693,3B,expected23,1752.7484042263,3C
expected24,397.592628328831,3A,expected24,259.564653575398,3B,expected24,2437.38831402644,3C
expected25,488.127589090441,3A,expected25,301.35568729159,3B,expected25,2359.14668388223,3C
expected26,532.257783352631,3A,expected26,347.442571322712,3B,expected26,2647.21320627762,3C
expected27,354.608677473305,3A,expected27,241.418858836606,3B,expected27,2086.3467784466,3C
expected28,574.005950083623,3A,expected28,398.782882549092,3B,expected28,2901.29333139355,3C
expected29,766.127396114756,3A,expected29,494.934049648018,3B,expected29,2057.46672970958,3C
expected30,835.39074359964,3A,expected30,570.625231567247,3B,expected30,2308.69624834058,3C
expected31,556.566415798276,3A,expected31,396.496294924046,3B,expected31,1819.55158304388,3C
expected32,900.915444487328,3A,expected32,654.944423860689,3B,expected32,2530.28543890596,3C
expected33,1094.46770873537,3A,expected33,767.767321230085,3B,expected33,1908.98731564495,3C
expected34,1193.41534799949,3A,expected34,885.183401259726,3B,expected34,2142.08657185983,3C
expected35,795.094879711823,3A,expected35,615.065579844387,3B,expected35,1688.24158468057,3C
expected36,1287.02206355333,3A,expected36,1015.9836976658,3B,expected36,2347.68452781465,3C
expected37,1425.06207384536,3A,expected37,980.750277880697,3B,expected37,2719.6046572951,3C
expected38,1553.89778721214,3A,expected38,1130.73823638385,3B,expected38,3051.68534616014,3C
expected39,1035.26083880098,3A,expected39,785.688217858466,3B,expected39,2405.12319736675,3C
expected40,1675.77930014152,3A,expected40,1297.82326787699,3B,expected40,3344.58679917802,3C
expected41,893.606586903383,3A,expected41,635.442015561319,3B,expected41,2352.30105111931,3C
expected42,974.394956902097,3A,expected42,732.621341237495,3B,expected42,2639.53167906309,3C
expected43,649.175865174321,3A,expected43,509.058540200074,3B,expected43,2080.29274036626,3C
expected44,1050.8225910202,3A,expected44,840.878103001112,3B,expected44,2892.87452945134,3C
expected45,713.031937475878,3A,expected45,479.971470915154,3B,expected45,1980.74843150448,3C
expected46,777.495079120031,3A,expected46,553.374397925157,3B,expected46,2222.61016748804,3C
expected47,517.994307217291,3A,expected47,384.509633197481,3B,expected47,1751.70460455728,3C
expected48,838.4786761868,3A,expected48,635.144497962208,3B,expected48,2435.9367964502,3C
residuals1,-7.48408719651347,3A,residuals1,-7.24479244676617,3B,residuals1,-16.1178546341142,3C
residuals2,-2.07771571931568,3A,residuals2,-0.900181084758241,3B,residuals2,4.74187470823601,3C
residuals3,18.5763327062419,3A,residuals3,15.0591407676201,3B,residuals3,27.9077270311582,3C
residuals4,-5.69850073829415,3A,residuals4,-4.57886659277775,3B,residuals4,-13.6611973619406,3C
residuals5,1.50121388002457,3A,residuals5,-0.194540101529473,3B,residuals5,-5.18338485687242,3C
residuals6,-8.93587171103023,3A,residuals6,-6.80515806570743,3B,residuals6,-9.21938002840214,3C
residuals7,6.76885278211348,3A,residuals7,6.48478120014908,3B,residuals7,18.3054332603098,3C
residuals8,1.90016894573911,3A,residuals8,1.47553058341401,3B,residuals8,-2.04255530621773,3C
residuals9,-0.692837767963717,3A,residuals9,-2.54127269166493,3B,residuals9,0.3047912743316,3C
residuals10,-3.25633184841042,3A,residuals10,-1.7174128432786,3B,residuals10,-6.89991563625167,3C
residuals11,1.05986826454114,3A,residuals11,1.09009807811238,3B,residuals11,1.47516033021764,3C
residuals12,2.94154376904519,3A,residuals12,2.96402061587738,3B,residuals12,5.06508189421482,3C
residuals13,0.422716247946535,3A,residuals13,-1.69929029182252,3B,residuals13,-0.0433514811266697,3C
residuals14,2.85259027516754,3A,residuals14,4.21751629720054,3B,residuals14,10.1398439300109,3C
residuals15,-1.65293044045863,3A,residuals15,-1.83542914857227,3B,residuals15,-5.09490133871272,3C
residuals16,-1.83752476377739,3A,residuals16,-1.03139221063085,3B,residuals16,-5.3260916124357,3C
residuals17,0.831627334090621,3A,residuals17,-0.815706261844473,3B,residuals17,1.1199686470859,3C
residuals18,4.21707356161944,3A,residuals18,4.52268346119394,3B,residuals18,0.610440360601397,3C
residuals19,-3.97748978127014,3A,residuals19,-3.18515334230788,3B,residuals19,-11.9848991809328,3C
residuals20,-1.70145637454008,3A,residuals20,-1.03416484829128,3B,residuals20,8.57021167000917,3C
residuals21,5.37816440526305,3A,residuals21,5.27297794772318,3B,residuals21,11.9066685762917,3C
residuals22,0.85020824237818,3A,residuals22,0.987641243535003,3B,residuals22,-0.889224005051975,3C
residuals23,-6.73950659148471,3A,residuals23,-5.83446240220383,3B,residuals23,-9.83494950524365,3C
residuals24,-0.481081278006242,3A,residuals24,-0.966087989823316,3B,residuals24,-1.54726450414265,3C
residuals25,3.43413375983057,3A,residuals25,4.06946678628874,3B,residuals25,-3.68834299476459,3C
residuals26,5.23357116643884,3A,residuals26,5.18017196023601,3B,residuals26,2.46422045844674,3C
residuals27,-8.58202937676418,3A,residuals27,-8.00756766757,3B,residuals27,-1.01467346701797,3C
residuals28,-1.46111255324269,3A,residuals28,-2.14240606044615,3B,residuals28,1.83252823415058,3C
residuals29,3.46372996372141,3A,residuals29,3.64388625628108,3B,residuals29,0.607003768874531,3C
residuals30,7.32132745563742,3A,residuals30,6.04387975191203,3B,residuals30,10.1834549633214,3C
residuals31,-12.0197738211272,3A,residuals31,-11.3245210606786,3B,residuals31,-6.31916507729495,3C
residuals32,-0.796776361165732,3A,residuals32,0.00217163158729484,3B,residuals32,-4.91602164164159,3C
residuals33,4.18744909943739,3A,residuals33,5.53014581074216,3B,residuals33,-0.61767235938954,3C
residuals34,-0.0409701379234397,3A,residuals34,-0.577553873510221,3B,residuals34,-3.45888716855294,3C
residuals35,-8.90488629493819,3A,residuals35,-9.15567976217246,3B,residuals35,-0.443961455785902,3C
residuals36,3.17707738951976,3A,residuals36,2.85545827195909,3B,residuals36,4.23742290031916,3C
residuals37,-0.134094691450348,3A,residuals37,0.455016531334687,3B,residuals37,7.73531478418181,3C
residuals38,1.80373151170453,3A,residuals38,-0.586985409971472,3B,residuals38,1.56248068363969,3C
residuals39,3.93899958855825,3A,residuals39,5.00574843780796,3B,residuals39,-6.34400811427724,3C
residuals40,-4.70925262485218,3A,residuals40,-3.74245917429116,3B,residuals40,-3.08800587416759,3C
residuals41,-2.96409983581814,3A,residuals41,-2.9927836270589,3B,residuals41,6.05558271842447,3C
residuals42,-2.67160516739414,3A,residuals42,-2.90469585929738,3B,residuals42,-2.8131935220193,3C
residuals43,3.95715736519399,3A,residuals43,4.25228591902808,3B,residuals43,-6.1673173621942,3C
residuals44,2.19572261130217,3A,residuals44,2.00434860812693,3B,residuals44,2.45652816670122,3C
residuals45,-6.74209804630532,3A,residuals45,-4.83705750484697,3B,residuals45,-2.78051372186802,3C
residuals46,-4.75172090658457,3A,residuals46,-3.96933984106122,3B,residuals46,-5.9096983407748,3C
residuals47,6.0636553434314,3A,residuals47,5.5837028513795,3B,residuals47,-0.924766734194086,3C
residuals48,6.02701798556259,3A,residuals48,3.56540118801339,3B,residuals48,8.93650740660857,3C
stdres1,-8.9658502882739,3A,stdres1,-8.57657955892242,3B,stdres1,-19.2485410197911,3C
stdres2,-2.52754848625991,3A,stdres2,-1.09142760012281,3B,stdres2,5.7728767768853,3C
stdres3,21.3020454706136,3A,stdres3,17.3099101398975,3B,stdres3,32.7485133621987,3C
stdres4,-7.03669920963758,3A,stdres4,-5.70950524328843,3B,stdres4,-16.9267545678288,3C
stdres5,1.79086272092402,3A,stdres5,-0.228228456851717,3B,stdres5,-6.19762458380702,3C
stdres6,-10.8247375648657,3A,stdres6,-8.17665642088029,3B,stdres6,-11.2373823461503,3C
stdres7,7.7293589481458,3A,stdres7,7.38690358898554,3B,stdres7,21.5064319090899,3C
stdres8,2.33651016853072,3A,stdres8,1.82331281508948,3B,stdres8,-2.53384464551935,3C
stdres9,-0.823905530695314,3A,stdres9,-2.98097891553208,3B,stdres9,0.365860847394282,3C
stdres10,-3.93219681519664,3A,stdres10,-2.06328498411754,3B,stdres10,-8.44323383996357,3C
stdres11,1.20644196483563,3A,stdres11,1.24159414666935,3B,stdres11,1.7399195665527,3C
stdres12,3.60559475623641,3A,stdres12,3.66219249164376,3B,stdres12,6.30803692738876,3C
stdres13,0.498888402589278,3A,stdres13,-1.9768264237542,3B,stdres13,-0.0515854976911209,3C
stdres14,3.41864960812997,3A,stdres14,5.02498312037843,3B,stdres14,12.3000417604867,3C
stdres15,-1.86731560885591,3A,stdres15,-2.07321829982918,3B,stdres15,-5.95711527798136,3C
stdres16,-2.2353390344349,3A,stdres16,-1.26379642250465,3B,stdres16,-6.57546796842559,3C
stdres17,0.977308808163647,3A,stdres17,-0.945441622542246,3B,stdres17,1.33210179794038,3C
stdres18,5.03239776001629,3A,stdres18,5.36876001292338,3B,stdres18,0.740161378924908,3C
stdres19,-4.47425583124493,3A,stdres19,-3.58457535795571,3B,stdres19,-14.0069144283927,3C
stdres20,-2.06100767981481,3A,stdres20,-1.26253377989587,3B,stdres20,10.57590271238,3C
stdres21,6.35145308916162,3A,stdres21,6.14452227365599,3B,stdres21,14.1743815184401,3C
stdres22,1.01958880352943,3A,stdres22,1.1787135117287,3B,stdres22,-1.07913719456519,3C
stdres23,-7.6186111120879,3A,stdres23,-6.60145186898504,3B,stdres23,-11.5043617212908,3C
stdres24,-0.585616373753193,3A,stdres24,-1.18577192656362,3B,stdres24,-1.91105314494409,3C
stdres25,4.09707754813238,3A,stdres25,4.79435305026618,3B,stdres25,-4.42576428723841,3C
stdres26,6.34038802923418,3A,stdres26,6.25048269018069,3B,stdres26,3.0143117621046,3C
stdres27,-9.80066752833106,3A,stdres27,-9.16008637166838,3B,stdres27,-1.19635432468688,3C
stdres28,-1.79678611795038,3A,stdres28,-2.65856084938609,3B,stdres28,2.28140297062262,3C
stdres29,4.21340633082493,3A,stdres29,4.38327470951667,3B,stdres29,0.72375298805208,3C
stdres30,9.04356937587324,3A,stdres30,7.44606064898635,3B,stdres30,12.3778655118163,3C
stdres31,-13.9956893756689,3A,stdres31,-13.2269639322479,3B,stdres31,-7.40346834479688,3C
stdres32,-0.999036814040205,3A,stdres32,0.00275151789010082,3B,stdres32,-6.08144967800596,3C
stdres33,5.21722019361524,3A,stdres33,6.8610208839394,3B,stdres33,-0.734196800302411,3C
stdres34,-0.0518343644015084,3A,stdres34,-0.733874058759311,3B,stdres34,-4.19123822146571,3C
stdres35,-10.6200530610227,3A,stdres35,-11.0293317693084,3B,stdres35,-0.518532674546243,3C
stdres36,4.08012204220428,3A,stdres36,3.73147288537083,3B,stdres36,5.22577225486828,3C
stdres37,-0.171356954483341,3A,stdres37,0.5791120537644,3B,stdres37,9.35355975297418,3C
stdres38,2.34057611115563,3A,stdres38,-0.765137719566878,3B,stdres38,1.92603963822687,3C
stdres39,4.81819938275692,3A,stdres39,6.18601398427726,3B,stdres39,-7.53770616842969,3C
stdres40,-6.20294417070236,3A,stdres40,-5.0170082331038,3B,stdres40,-3.87410511587883,3C
stdres41,-3.63882490216193,3A,stdres41,-3.65692416867038,3B,stdres41,7.26523967828448,3C
stdres42,-3.33043783461721,3A,stdres42,-3.63511519188963,3B,stdres42,-3.44068761664162,3C
stdres43,4.65007903852126,3A,stdres43,5.04509724381169,3B,stdres43,-7.2705429344971,3C
stdres44,2.77844330496245,3A,stdres44,2.57968220293515,3B,stdres44,3.05780722571052,3C
stdres45,-8.17049521108907,3A,stdres45,-5.80901763459364,3B,stdres45,-3.3100016295452,3C
stdres46,-5.84742912005139,3A,stdres46,-4.88221166665994,3B,stdres46,-7.17166687622253,3C
stdres47,7.03390513314958,3A,stdres47,6.51103740868323,3B,stdres47,-1.08171264050113,3C
stdres48,7.52855344162929,3A,stdres48,4.51005836814412,3B,stdres48,11.037363197893,3C
